Tanggal,mean_wib,mean_wita,mean_wit
2021-04-09,14361.0,15025.0,16075.0
2021-04-10,14361.0,15025.0,16075.0
2021-04-11,14361.0,15025.0,16075.0
2021-04-12,14356.0,15046.0,16075.0
2021-04-13,14361.0,15050.0,16075.0
2021-04-14,14347.0,15058.0,16112.0
2021-04-15,14344.0,15058.0,16112.0
2021-04-16,14347.0,15058.0,16112.0
2021-04-17,14347.0,15058.0,16112.0
2021-04-18,14347.0,15058.0,16112.0
2021-04-19,14350.0,15100.0,16150.0
2021-04-20,14353.0,15112.0,16150.0
2021-04-21,14367.0,15112.0,16150.0
2021-04-22,14383.0,15117.0,16150.0
2021-04-23,14394.0,15112.0,16150.0
2021-04-24,14394.0,15112.0,16150.0
2021-04-25,14394.0,15112.0,16150.0
2021-04-26,14444.0,15129.0,16150.0
2021-04-27,14475.0,15154.0,16150.0
2021-04-28,14492.0,15154.0,16150.0
2021-04-29,14500.0,15183.0,16150.0
2021-04-30,14506.0,15200.0,16150.0
2021-05-01,14506.0,15200.0,16150.0
2021-05-02,14506.0,15200.0,16150.0
2021-05-03,14533.0,15225.0,16150.0
2021-05-04,14553.0,15229.0,16138.0
2021-05-05,14558.0,15242.0,16162.0
2021-05-06,14564.0,15238.0,16150.0
2021-05-07,14581.0,15267.0,16188.0
2021-05-08,14581.0,15267.0,16188.0
2021-05-09,14581.0,15267.0,16188.0
2021-05-10,14644.0,15296.0,16188.0
2021-05-11,14692.0,15300.0,16188.0
2021-05-12,14692.0,15300.0,16188.0
2021-05-13,14692.0,15300.0,16188.0
2021-05-14,14692.0,15300.0,16188.0
2021-05-15,14692.0,15300.0,16188.0
2021-05-16,14692.0,15300.0,16188.0
2021-05-17,14708.0,15321.0,16212.0
2021-05-18,14719.0,15367.0,16212.0
2021-05-19,14728.0,15375.0,16188.0
2021-05-20,14769.0,15383.0,16188.0
2021-05-21,14792.0,15396.0,16200.0
2021-05-22,14792.0,15396.0,16200.0
2021-05-23,14792.0,15396.0,16200.0
2021-05-24,15044.0,15442.0,16188.0
2021-05-25,14856.0,15433.0,16188.0
2021-05-26,14856.0,15433.0,16188.0
2021-05-27,14842.0,15450.0,16188.0
2021-05-28,14847.0,15450.0,16250.0
2021-05-29,14847.0,15450.0,16250.0
2021-05-30,14847.0,15450.0,16250.0
2021-05-31,14847.0,15404.0,16250.0
2021-06-01,14847.0,15404.0,16250.0
2021-06-02,14842.0,15446.0,16250.0
2021-06-03,14836.0,15467.0,16250.0
2021-06-04,14850.0,15483.0,16262.0
2021-06-05,14850.0,15483.0,16262.0
2021-06-06,14850.0,15483.0,16262.0
2021-06-07,14847.0,15529.0,16262.0
2021-06-08,14831.0,15529.0,16275.0
2021-06-09,14833.0,15538.0,16388.0
2021-06-10,14831.0,15546.0,16425.0
2021-06-11,14828.0,15554.0,16425.0
2021-06-12,14828.0,15554.0,16425.0
2021-06-13,14828.0,15554.0,16425.0
2021-06-14,14822.0,15604.0,16425.0
2021-06-15,14819.0,15604.0,16412.0
2021-06-16,14844.0,15596.0,16425.0
2021-06-17,14836.0,15642.0,16462.0
2021-06-18,14828.0,15654.0,16462.0
2021-06-19,14828.0,15654.0,16462.0
2021-06-20,14828.0,15654.0,16462.0
2021-06-21,14806.0,15696.0,16462.0
2021-06-22,14786.0,15717.0,16512.0
2021-06-23,14797.0,15717.0,16550.0
2021-06-24,14800.0,15738.0,16550.0
2021-06-25,14794.0,15738.0,16550.0
2021-06-26,14794.0,15738.0,16550.0
2021-06-27,14794.0,15738.0,16550.0
2021-06-28,14817.0,15683.0,16562.0
2021-06-29,14806.0,15667.0,16575.0
2021-06-30,14817.0,15675.0,16600.0
2021-07-01,14808.0,15621.0,16638.0
2021-07-02,14819.0,15621.0,16638.0
2021-07-03,14819.0,15621.0,16638.0
2021-07-04,14819.0,15621.0,16638.0
2021-07-05,14831.0,15642.0,16662.0
2021-07-06,14831.0,15621.0,16662.0
2021-07-07,14825.0,15608.0,16662.0
2021-07-08,14828.0,15575.0,16662.0
2021-07-09,14828.0,15600.0,16662.0
2021-07-10,14828.0,15600.0,16662.0
2021-07-11,14828.0,15600.0,16662.0
2021-07-12,14839.0,15629.0,16725.0
2021-07-13,14842.0,15629.0,16725.0
2021-07-14,14850.0,15633.0,16725.0
2021-07-15,14858.0,15642.0,16712.0
2021-07-16,14875.0,15650.0,16738.0
2021-07-17,14875.0,15650.0,16738.0
2021-07-18,14875.0,15650.0,16738.0
2021-07-19,14869.0,15688.0,16738.0
2021-07-20,14869.0,15688.0,16738.0
2021-07-21,14903.0,15733.0,16738.0
2021-07-22,14903.0,15738.0,16738.0
2021-07-23,14914.0,15742.0,16725.0
2021-07-24,14914.0,15742.0,16725.0
2021-07-25,14914.0,15742.0,16725.0
2021-07-26,14983.0,15754.0,16738.0
2021-07-27,15003.0,15758.0,16738.0
2021-07-28,15042.0,15775.0,16725.0
